module,locus_tag,gene_weight,accession,start,end,strand,product,old_locus_tag,Description,Preferred_name,PFAMs,Protein names,Length,Protein families,Gene Ontology (GO),Gene Ontology (molecular function),regulator
11,Atu3969,0.2315857763961902,NC_003063.2,1074066.0,1074839.0,+,ABC transporter%2C membrane spanning protein (sugar),AGR_L_1773,"ABC-type sugar transport system, permease component",-,BPD_transp_1,"ABC transporter, membrane spanning protein (Sugar)",257.0,Binding-protein-dependent transport system permease family,plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],,
11,Atu3964,0.1930324662193273,NC_003063.2,1068391.0,1069404.0,+,dehydrogenase,AGR_L_1782,"Oxidoreductase family, C-terminal alpha/beta domain",-,"GFO_IDH_MocA,GFO_IDH_MocA_C",Dehydrogenase,337.0,,nucleotide binding [GO:0000166],nucleotide binding [GO:0000166],
11,Atu3498,0.0858557615506452,NC_003063.2,549017.0,550453.0,+,aldehyde dehydrogenase,AGR_L_2660,Aldehyde dehydrogenase,-,Aldedh,Aldehyde dehydrogenase,478.0,,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",
11,Atu3497,0.0682696712130312,NC_003063.2,548600.0,548947.0,-,hypothetical protein,,,,,Uncharacterized protein,115.0,,,,
11,Atu3965,0.1887911387790647,NC_003063.2,1069397.0,1070413.0,+,oxidoreductase,AGR_L_1780,oxidoreductase,-,"GFO_IDH_MocA,GFO_IDH_MocA_C",Oxidoreductase,338.0,,nucleotide binding [GO:0000166],nucleotide binding [GO:0000166],
12,Atu2569,0.1317094183514676,NC_003062.2,2539907.0,2541730.0,-,thiamine biosynthesis protein,AGR_C_4656,Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction,thiC,"ThiC-associated,ThiC_Rad_SAM",Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC),607.0,ThiC family,"4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]","4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]",Atu4420
12,Atu0769,0.0942568524675441,NC_003062.2,765616.0,766569.0,+,protoheme IX farnesyltransferase,AGR_C_1402,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,ctaB,UbiA,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase),317.0,"UbiA prenyltransferase family, Protoheme IX farnesyltransferase subfamily",plasma membrane [GO:0005886]; protoheme IX farnesyltransferase activity [GO:0008495]; heme O biosynthetic process [GO:0048034],protoheme IX farnesyltransferase activity [GO:0008495],Atu1602
12,Atu0792,0.152770254666746,NC_003062.2,788770.0,789234.0,+,conserved hypothetical protein,AGR_C_1449,Protein of unknown function (DUF1284),-,DUF1284,DUF1284 domain-containing protein,154.0,,,,
12,Atu1359,-0.1053169312074699,NC_003062.2,1352657.0,1353076.0,+,dnaK deletion suppressor protein,AGR_C_2513,Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters,dksA,zf-dskA_traR,RNA polymerase-binding transcription factor DksA,139.0,DksA family,cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of gene expression [GO:0010468],zinc ion binding [GO:0008270],
12,Atu1748,0.2140630263804703,NC_003062.2,1735576.0,1736022.0,-,NIFU-like protein,AGR_C_3210,NifU homolog involved in Fe-S cluster formation,nifU,NifU_N,NIFU-like protein,148.0,,iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]; iron-sulfur cluster assembly [GO:0016226],iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536],
12,Atu1844,0.1104114235469977,NC_003062.2,1825681.0,1825923.0,+,Phosphoribosylformylglycinamidine synthetase,,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,purS,PurS,Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III),80.0,PurS family,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189],ATP binding [GO:0005524]; phosphoribosylformylglycinamidine synthase activity [GO:0004642],
12,Atu3288,0.110729024758076,NC_003063.2,314731.0,315471.0,+,hydoxyethylthiazole kinase,AGR_L_3060,Catalyzes the phosphorylation of the hydroxyl group of 4-methyl-5-beta-hydroxyethylthiazole (THZ),thiM,HK,Probable hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase),246.0,Thz kinase family,ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; magnesium ion binding [GO:0000287]; phosphorylation [GO:0016310]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229],ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; magnesium ion binding [GO:0000287],Atu4420
12,Atu2274,-0.2080340605968168,NC_003062.2,2245862.0,2246764.0,-,cation efflux system protein,AGR_C_4131,Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,-,"Cation_efflux,ZT_dimer",Cation efflux system protein,300.0,Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,membrane [GO:0016020]; monoatomic cation transmembrane transporter activity [GO:0008324],monoatomic cation transmembrane transporter activity [GO:0008324],
12,Atu3290,0.125215467507867,NC_003063.2,316117.0,316914.0,+,phosphomethylpyrimidine kinase,AGR_L_3056,Phosphomethylpyrimidine kinase,thiD,Phos_pyr_kin,Phosphomethylpyrimidine kinase,265.0,,phosphomethylpyrimidine kinase activity [GO:0008972]; phosphorylation [GO:0016310]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229],phosphomethylpyrimidine kinase activity [GO:0008972],Atu4420
12,Atu3289,0.1125815653322721,NC_003063.2,315458.0,316120.0,+,thiamine-phosphate pyrophosphorylase,AGR_L_3059,Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP),thiE,TMP-TENI,Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase),220.0,Thiamine-phosphate synthase family,magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229],magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789],Atu4420
12,Atu4098,0.2769202782035716,NC_003063.2,1217933.0,1218970.0,-,quinolinate synthetase A,AGR_L_1511,Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate,nadA,NadA,Quinolinate synthase (EC 2.5.1.72),345.0,"Quinolinate synthase family, Type 2 subfamily","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; NAD biosynthetic process [GO:0009435]","4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]",Atu4099
12,Atu4096,0.3010572086231519,NC_003063.2,1215509.0,1216366.0,-,nicotinate-mononucleotide pyrophosphorylase,AGR_L_1516,Belongs to the NadC ModD family,nadC,"QRPTase_C,QRPTase_N",nicotinate-nucleotide diphosphorylase (carboxylating) (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]),285.0,NadC/ModD family,nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD biosynthetic process [GO:0009435],nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514],Atu4099
12,Atu4001,0.0983978649408282,NC_003063.2,1115195.0,1116181.0,+,3-oxoacyl-(acyl-carrier-protein) synthase III,AGR_L_1702,3-oxoacyl- acyl-carrier-protein synthase III,fabH2,"ACP_syn_III,ACP_syn_III_C",3-oxopimeloyl-[acyl-carrier-protein] synthase (3-oxopimeloyl-[ACP] synthase) (EC 2.3.1.-) (3-ketoacyl-ACP synthase) (3-oxoacyl-(acyl-carrier-protein) synthase) (Beta-ketoacyl-ACP synthase),328.0,"Thiolase-like superfamily, BioZ family",3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; biotin biosynthetic process [GO:0009102]; fatty acid biosynthetic process [GO:0006633],3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315],Atu0791
12,Atu4000,0.0913441285392238,NC_003063.2,1113865.0,1115157.0,+,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,AGR_L_1704,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,bioA,Aminotran_3,"Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)",430.0,"Class-III pyridoxal-phosphate-dependent aminotransferase family, BioA subfamily",cytoplasm [GO:0005737]; adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102],adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170],Atu0791
12,Atu4097,0.2485939241567551,NC_003063.2,1216368.0,1217936.0,-,L-aspartate oxidase,AGR_L_1513,Catalyzes the oxidation of L-aspartate to iminoaspartate,nadB,"FAD_binding_2,Succ_DH_flav_C",L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B),522.0,"FAD-dependent oxidoreductase 2 family, NadB subfamily",cytoplasm [GO:0005737]; L-aspartate oxidase activity [GO:0008734]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]; nucleotide binding [GO:0000166]; NAD biosynthetic process [GO:0009435],L-aspartate oxidase activity [GO:0008734]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]; nucleotide binding [GO:0000166],Atu4099
12,Atu3998,0.0946263735996354,NC_003063.2,1112088.0,1113233.0,+,8-amino-7-oxononanoate synthase,AGR_L_1707,7-keto-8-aminopelargonate synthetase and related enzymes,bioF,Aminotran_1_2,8-amino-7-oxononanoate synthase,381.0,,catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058],catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170],Atu0791
12,Atu3997,0.1257155000478889,NC_003063.2,1111072.0,1112091.0,+,biotin synthetase,AGR_L_1708,Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism,bioB,"BATS,Radical_SAM",Biotin synthase (EC 2.8.1.6),339.0,"Radical SAM superfamily, Biotin synthase family","2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]; biotin biosynthetic process [GO:0009102]","2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]",Atu0791
12,Atu3483,0.1044552382469186,NC_003063.2,532015.0,532854.0,+,3-methyl-2-oxobutanoate hydroxymethyltransferase,AGR_L_2695,"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate",panB,Pantoate_transf,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),279.0,PanB family,cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; metal ion binding [GO:0046872]; pantothenate biosynthetic process [GO:0015940],3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; metal ion binding [GO:0046872],
12,Atu3482,0.1065412963560071,NC_003063.2,531140.0,532018.0,+,pantoate--beta-alanine ligase,AGR_L_2698,Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate,panC,Pantoate_ligase,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),292.0,Pantothenate synthetase family,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940],ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592],
12,Atu3999,0.1008153868291716,NC_003063.2,1113230.0,1113868.0,+,dethiobiotin synthase,AGR_L_1705,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",bioD,AAA_26,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase),212.0,Dethiobiotin synthetase family,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]; biotin biosynthetic process [GO:0009102],ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287],Atu0791
13,Atu3623,-0.1107994719366827,NC_003063.2,677605.0,678240.0,-,molecular chaperone%2C DnaJ family,AGR_L_2405,molecular chaperone,dnaJ2,DnaJ,"Molecular chaperone, DnaJ family",211.0,,,,
13,Atu4743,0.1349397286950234,NC_003063.2,1911887.0,1912966.0,-,transcriptional regulator%2C LacI family,AGR_L_273,helix_turn _helix lactose operon repressor,-,"LacI,Peripla_BP_1,Peripla_BP_4","Transcriptional regulator, LacI family",359.0,,DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355],DNA binding [GO:0003677],Atu4743
13,Atu4773,0.1199917255070352,NC_003063.2,1941969.0,1942343.0,-,two component response regulator,AGR_L_220,cheY-homologous receiver domain,-,Response_reg,Two component response regulator,124.0,,phosphorelay signal transduction system [GO:0000160],,
13,Atu6138,0.1053429319990963,NC_003065.3,157464.0,158240.0,+,Repressor of the acc and arc operons,AGR_pTi_255,DeoR C terminal sensor domain,accR,"DeoRC,HTH_DeoR",Transcriptional repressor AccR,258.0,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],
13,Atu4085,0.120691331521067,NC_003063.2,1204057.0,1204950.0,-,2-hydroxy-3-oxopropionate reductase,AGR_L_1542,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase,garR,"NAD_binding_11,NAD_binding_2",2-hydroxy-3-oxopropionate reductase,297.0,,"NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; organic acid catabolic process [GO:0016054]","NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",Atu4685
13,Atu4711,0.0959767410004553,NC_003063.2,1874533.0,1875891.0,-,two component sensor kinase,AGR_L_341,Histidine kinase-like ATPases,-,HATPase_c,histidine kinase (EC 2.7.13.3),452.0,,membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155],phosphorelay sensor kinase activity [GO:0000155],
13,Atu4077,0.0950049506214712,NC_003063.2,1195649.0,1197856.0,-,glycogen branching enzyme,AGR_L_1558,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position",glgB,"Alpha-amylase,Alpha-amylase_C,CBM_48","1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)",735.0,"Glycosyl hydrolase 13 family, GlgB subfamily","1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen biosynthetic process [GO:0005978]","1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",
13,Atu3730,-0.116658905725243,NC_003063.2,810848.0,811672.0,-,conserved hypothetical protein,AGR_L_2208,protein conserved in bacteria,ymdB,YmdB,TIGR00282 family metallophosphoesterase,274.0,,metal ion binding [GO:0046872],metal ion binding [GO:0046872],
13,Atu3616,0.1082380516361506,NC_003063.2,670945.0,671718.0,-,conserved hypothetical protein,AGR_L_2419,Protein of unknown function (DUF3108),-,DUF3108,Signal peptide protein,257.0,,,,
13,Atu1526,0.1052463400723659,NC_003062.2,1517611.0,1519041.0,-,6-phosphogluconate dehydrogenase%2C decarboxylating,AGR_C_2814,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH",gnd,"6PGD,NAD_binding_2","6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",476.0,6-phosphogluconate dehydrogenase family,NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; D-gluconate metabolic process [GO:0019521]; organic acid catabolic process [GO:0016054]; pentose-phosphate shunt [GO:0006098],NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616],
13,Atu2740,-0.1373996200320947,NC_003062.2,2737162.0,2737878.0,+,transcriptional regulator%2C GntR family,AGR_C_4967,FCD,-,"FCD,GntR","Transcriptional regulator, GntR family",238.0,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],
13,Atu2737,0.132183160328936,NC_003062.2,2733524.0,2734426.0,-,oxidoredutase,AGR_C_4961,3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases,glxR,"NAD_binding_11,NAD_binding_2",Oxidoredutase,300.0,,"NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; organic acid catabolic process [GO:0016054]","NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",
13,Atu2614,0.1041864266135831,NC_003062.2,2593746.0,2593997.0,+,conserved hypothetical protein,AGR_C_4740,Glycine zipper,-,"Gly-zipper_Omp,Gly-zipper_OmpA,Gly-zipper_YMGG",Glycine zipper domain-containing protein,83.0,,,,
13,Atu1904,0.0958345121374333,NC_003062.2,1881707.0,1882642.0,+,transcriptional regulator,AGR_C_3494,transcriptional regulator,-,"HTH_23,HTH_24,MarR_2,Sugar-bind",Transcriptional regulator,311.0,SorC transcriptional regulatory family,carbohydrate binding [GO:0030246]; DNA-binding transcription factor activity [GO:0003700],carbohydrate binding [GO:0030246]; DNA-binding transcription factor activity [GO:0003700],
13,Atu1339,0.1014002208397666,NC_003062.2,1323801.0,1326734.0,-,ribonuclease E,AGR_C_2469,Endoribonuclease that plays a central role in RNA processing and decay. Required for the maturation of 5S and 16S rRNAs and the majority of tRNAs. Also involved in the degradation of most mRNAs,rne,"RNase_E_G,S1",Ribonuclease E (RNase E) (EC 3.1.26.12),977.0,"RNase E/G family, RNase E subfamily",cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; magnesium ion binding [GO:0000287]; ribonuclease E activity [GO:0008995]; RNA endonuclease activity [GO:0004521]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; mRNA catabolic process [GO:0006402]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033],magnesium ion binding [GO:0000287]; ribonuclease E activity [GO:0008995]; RNA endonuclease activity [GO:0004521]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],
13,Atu1327,-0.1530603706514028,NC_003062.2,1315245.0,1315643.0,+,NADH-ubiquinone oxidoreductase,AGR_C_2444,"Provides the input to the respiratory chain from the NAD-linked dehydrogenases of the citric acid cycle. The complex couples the oxidation of NADH and the reduction of ubiquinone, to the generation of a proton gradient which is then used for ATP synthesis",MA20_29090,NDUFA12,NADH-ubiquinone oxidoreductase,132.0,,membrane [GO:0016020]; mitochondrial respiratory chain complex I assembly [GO:0032981],,
13,Atu0195,0.1310227695795468,NC_003062.2,199684.0,200175.0,-,gluconokinase,AGR_C_329,Gluconokinase,gntK,SKI,Gluconokinase (EC 2.7.1.12),163.0,Gluconokinase GntK/GntV family,ATP binding [GO:0005524]; gluconokinase activity [GO:0046316]; carbohydrate metabolic process [GO:0005975]; phosphorylation [GO:0016310],ATP binding [GO:0005524]; gluconokinase activity [GO:0046316],
13,Atu4087,0.1767641329661923,NC_003063.2,1206009.0,1207040.0,+,zinc-binding dehydrogenase,AGR_L_1538,threonine dehydrogenase and related Zn-dependent dehydrogenases,idnD,"ADH_N,ADH_zinc_N",Zinc-binding dehydrogenase,343.0,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],Atu4685
13,Atu2747,-0.1776884309111492,NC_003062.2,2745254.0,2745916.0,-,conserved hypothetical protein,AGR_C_4983,"Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis",MA20_24865,Ala_racemase_N,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein),220.0,Pyridoxal phosphate-binding protein YggS/PROSC family,pyridoxal phosphate binding [GO:0030170],pyridoxal phosphate binding [GO:0030170],
13,Atu4086,0.1784228649397367,NC_003063.2,1205038.0,1205793.0,-,gluconate 5-dehydrogenase,AGR_L_1541,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),idnO,adh_short_C2,Gluconate 5-dehydrogenase,251.0,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],Atu4685
14,Atu0679,0.2970411857776652,NC_003062.2,673931.0,674623.0,+,ATP phosphoribosyltransferase,AGR_C_1215,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity,hisG,"HisG,HisG_C",ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17),230.0,"ATP phosphoribosyltransferase family, Short subfamily",cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; histidine biosynthetic process [GO:0000105],ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879],
14,Atu1750,0.2913606271582238,NC_003062.2,1737056.0,1737508.0,+,phosphoribosyl c-AMP cyclohydrolase,AGR_C_3213,Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP,hisI,"PRA-CH,PRA-PH",Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19),150.0,PRA-CH family,cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; zinc ion binding [GO:0008270]; histidine biosynthetic process [GO:0000105],magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; zinc ion binding [GO:0008270],
14,Atu3933,-0.1018520714418609,NC_003063.2,1036224.0,1037768.0,-,histidine ammonia-lyase,AGR_L_1825,histidine,hutH,Lyase_aromatic,Histidine ammonia-lyase (Histidase) (EC 4.3.1.3),514.0,PAL/histidase family,cytoplasm [GO:0005737]; histidine ammonia-lyase activity [GO:0004397]; histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557],histidine ammonia-lyase activity [GO:0004397],
14,Atu0678,0.2948876460184494,NC_003062.2,672807.0,673934.0,+,histidyl-tRNA synthetase,AGR_C_1214,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,hisZ,tRNA-synt_His,ATP phosphoribosyltransferase regulatory subunit,375.0,"Class-II aminoacyl-tRNA synthetase family, HisZ subfamily",cytoplasm [GO:0005737]; histidine biosynthetic process [GO:0000105],,
14,Atu8115,0.0684183981368717,NC_003062.2,43288.0,43782.0,-,Hypothetical Protein,AGR_C_67,Protein of unknown function (DUF2628),-,DUF2628,DUF2628 domain-containing protein,164.0,,membrane [GO:0016020],,
14,Atu3935,-0.1554254524200254,NC_003063.2,1039138.0,1040484.0,+,hydrolase,AGR_L_1821,Cytosine deaminase and related metal-dependent hydrolases,hutF,Amidohydro_1,Hydrolase,448.0,,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]",
14,Atu3934,-0.1015468948193105,NC_003063.2,1037765.0,1039024.0,-,imidazolone-5-propionate hydrolase,AGR_L_1824,imidazolonepropionase activity,hutI,"Amidohydro_1,Amidohydro_3",Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propanoate hydrolase) (Imidazolone-5-propionate hydrolase),419.0,"Metallo-dependent hydrolases superfamily, HutI family",cytoplasm [GO:0005737]; imidazolonepropionase activity [GO:0050480]; iron ion binding [GO:0005506]; zinc ion binding [GO:0008270]; histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557],imidazolonepropionase activity [GO:0050480]; iron ion binding [GO:0005506]; zinc ion binding [GO:0008270],
14,Atu0537,0.2859099769298469,NC_003062.2,527870.0,529168.0,-,histidinol dehydrogenase,AGR_C_948,Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine,hisD,Histidinol_dh,Histidinol dehydrogenase (HDH) (EC 1.1.1.23),432.0,Histidinol dehydrogenase family,histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; histidine biosynthetic process [GO:0000105],histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270],
